machine_id,gpu_model,hardware_class,hub,gpu_count,raw_gpu_hourly_rate,hourly_electricity_cost,implied_hardware_margin,cost_per_million_tokens,timestamp
40455925,B200,FRONTIER,US-OTHER,1,3.438,0.143,3.2945,0.1591,2026-06-15 15:44:01.951896
40455930,B200,FRONTIER,US-OTHER,2,3.438,0.143,3.2945,0.1591,2026-06-15 15:44:01.951896
37860219,B300,FRONTIER,US-OTHER,1,6.25,0.143,6.107,0.2894,2026-06-15 15:44:01.951896
37430319,B300,FRONTIER,US-OTHER,2,5.812,0.143,5.6695,0.2691,2026-06-15 15:44:01.951896
40456062,B200,FRONTIER,US-OTHER,1,4.062,0.143,3.9195,0.1881,2026-06-15 15:44:01.951896
40455928,B200,FRONTIER,US-OTHER,4,3.438,0.143,3.2945,0.1591,2026-06-15 15:44:01.951896
41081256,B200,FRONTIER,US-VA,1,4.187,0.104,4.0835,0.1939,2026-06-15 15:44:01.951896
40760891,B300,FRONTIER,US-OTHER,8,5.0,0.143,4.857,0.2315,2026-06-15 15:44:01.951896
40455940,B200,FRONTIER,US-OTHER,8,3.438,0.143,3.2945,0.1591,2026-06-15 15:44:01.951896
39651743,H200 NVL,FRONTIER,US-OTHER,2,2.067,0.143,1.9237,0.0957,2026-06-15 15:44:01.951896
39557730,H200,FRONTIER,EU,1,2.829,0.26,2.5689,0.131,2026-06-15 15:44:01.951896
40455930,B200,FRONTIER,US-OTHER,2,3.438,0.143,3.2945,0.1591,2026-06-15 15:49:03.507264
40455901,B200,FRONTIER,US-OTHER,1,3.438,0.143,3.2945,0.1591,2026-06-15 15:49:03.507264
40760889,B300,FRONTIER,US-OTHER,8,5.0,0.143,4.857,0.2315,2026-06-15 15:49:03.507264
40455965,B200,FRONTIER,US-OTHER,4,3.438,0.143,3.2945,0.1591,2026-06-15 15:49:03.507264
37860217,B300,FRONTIER,US-OTHER,1,6.25,0.143,6.107,0.2894,2026-06-15 15:49:03.507264
38345032,B300,FRONTIER,US-OTHER,4,6.25,0.143,6.107,0.2894,2026-06-15 15:49:03.507264
39651751,H200 NVL,FRONTIER,US-OTHER,1,2.067,0.143,1.9237,0.0957,2026-06-15 15:49:03.507264
41081249,B200,FRONTIER,US-VA,1,4.187,0.104,4.0835,0.1939,2026-06-15 15:49:03.507264
40455967,B200,FRONTIER,US-OTHER,8,3.438,0.143,3.2945,0.1591,2026-06-15 15:49:03.507264
